product_link,title,brand,price,discount,avg_rating,total_ratings
https://www.flipkart.com/red-tape-athleisure-shoes-women-cultured-round-toe-shape-cushioning-technology-walking/p/itm36a745efbdf14?pid=SHOH4D4T9XER3HGZ&lid=LSTSHOH4D4T9XER3HGZRJJUMY&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=en_VDuG7PJRpaHqb9ZEm9Cj0L_4pufCkGaaGpj59slhhyLTer2lLe8bwo7SSIxROwmD6H_dp67RayXIv4QOs5R_MvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=z2s8rjht8g0000001744466512873&qH=32e27b1148959538,Athleisure Shoes for Women | Cultured Round-Toe Shape & Cushioning Technology Walking Shoes For Women,RED TAPE ,1581,0.82,4.4,631
https://www.flipkart.com/red-tape-athleisure-shoes-women-cultured-round-toe-shape-cushioning-technology-walking/p/itm826747b2a727e?pid=SHOH3ZPPUGQZYPV4&lid=LSTSHOH3ZPPUGQZYPV4VVPVT2&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_2&otracker=search&otracker1=search&fm=Search&iid=en_VDuG7PJRpaHqb9ZEm9Cj0L_4pufCkGaaGpj59slhhyJYCdl9Vc6FsVGiWwpZ0OgQLEzJ8v52VCE93aTwJ2QczvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=z2s8rjht8g0000001744466512873&qH=32e27b1148959538,Athleisure Shoes for Women |Cultured Round-Toe Shape & Cushioning Technology Walking Shoes For Women,RED TAPE ,2089,0.78,3.8,410
https://www.flipkart.com/asian-mercury-11-mint-sports-gym-walking-training-stylish-running-shoes-women/p/itmd59c8ace18690?pid=SHOGPDFBT6ZTMUDH&lid=LSTSHOGPDFBT6ZTMUDHQRQBUJ&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&spotlightTagId=default_BestsellerId_osp%2Fiko%2Fd20&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=3b3e4816-eab1-41ff-bf6c-34092536fd02.SHOGPDFBT6ZTMUDH.SEARCH&ppt=sp&ppn=sp&ssid=z2s8rjht8g0000001744466512873&qH=32e27b1148959538,"Mercury-11 Mint Sports,Gym,Walking,Training,Stylish Running Shoes For Women",asian ,803,0.23,4.2,87740
https://www.flipkart.com/baniroma-chunky-sneakers-running-shoes-women/p/itmdeafe8f6c58e6?pid=SHOH8ZYCCJSKXAN6&lid=LSTSHOH8ZYCCJSKXAN6FRRVTE&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_4&otracker=search&otracker1=search&fm=Search&iid=3b3e4816-eab1-41ff-bf6c-34092536fd02.SHOH8ZYCCJSKXAN6.SEARCH&ppt=sp&ppn=sp&ssid=z2s8rjht8g0000001744466512873&qH=32e27b1148959538,Chunky sneakers Running Shoes For Women,Baniroma ,649,0.67,4,5
https://www.flipkart.com/layasa-women-s-mesh-sports-walking-running-shoes-women/p/itma1818d01143f3?pid=SHOG62SZVHKQFHUE&lid=LSTSHOG62SZVHKQFHUERXOMHQ&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_5&otracker=search&otracker1=search&fm=Search&iid=en_VDuG7PJRpaHqb9ZEm9Cj0L_4pufCkGaaGpj59slhhyIPFUUbqx-Z-s3m7Fr2C_un690l0-vScxkd0lTS_CJGLQ%3D%3D&ppt=sp&ppn=sp&ssid=z2s8rjht8g0000001744466512873&qH=32e27b1148959538,Women's Mesh Sports Walking Running Shoes For Women,Layasa ,398,0.6,4.1,62513
https://www.flipkart.com/kraasa-running-shoes-women/p/itmeeb720bff2fb4?pid=SHOGXF94HUCTU85C&lid=LSTSHOGXF94HUCTU85C8VKLWR&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_6&otracker=search&otracker1=search&fm=Search&iid=en_VDuG7PJRpaHqb9ZEm9Cj0L_4pufCkGaaGpj59slhhyIQ_4Bb7TT2l0LQaeu27yguwsinqeVh94RoKEEeC3MNeOvN4Mn-dv-pi277bRzMbnY%3D&ppt=sp&ppn=sp&ssid=z2s8rjht8g0000001744466512873&qH=32e27b1148959538,Running Shoes For Women,Kraasa ,492,0.75,3.8,979
https://www.flipkart.com/reebok-aim-runner-w-training-gym-shoes-women/p/itme32318087456e?pid=SHOGHXWSJZ5XGG4W&lid=LSTSHOGHXWSJZ5XGG4WNRGOKP&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_7&otracker=search&otracker1=search&fm=Search&iid=3b3e4816-eab1-41ff-bf6c-34092536fd02.SHOGHXWSJZ5XGG4W.SEARCH&ppt=sp&ppn=sp&ssid=z2s8rjht8g0000001744466512873&qH=32e27b1148959538,Aim Runner W Training & Gym Shoes For Women,REEBOK ,2699,0.46,,
https://www.flipkart.com/jack-diamond-pro-sneakers-women/p/itme21a49d5dacd3?pid=SHOG5W76THQTHKSU&lid=LSTSHOG5W76THQTHKSUFXFZJ2&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_8&otracker=search&otracker1=search&fm=Search&iid=3b3e4816-eab1-41ff-bf6c-34092536fd02.SHOG5W76THQTHKSU.SEARCH&ppt=sp&ppn=sp&ssid=z2s8rjht8g0000001744466512873&qH=32e27b1148959538,Pro Sneakers For Women,Jack Diamond ,878,0.12,4.2,490
https://www.flipkart.com/campus-montana-women-s-casual-shoes-memory-insole-cushioning-nitrofly-lace-up-running-women/p/itm9fdf46e65de0e?pid=SHOH2HHF6DDWKZ9Z&lid=LSTSHOH2HHF6DDWKZ9ZLFZOM0&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_9&otracker=search&otracker1=search&fm=Search&iid=3b3e4816-eab1-41ff-bf6c-34092536fd02.SHOH2HHF6DDWKZ9Z.SEARCH&ppt=sp&ppn=sp&ssid=z2s8rjht8g0000001744466512873&qH=32e27b1148959538,MONTANA Women's Casual Shoes | Memory Insole Cushioning with Nitrofly | Lace-Up Running Shoes For Women,CAMPUS ,1646,0.31,4.1,41
https://www.flipkart.com/vokline-women-sports-shoes-running-shoes-trekking-shoes-gym-shoes-outdoors/p/itm119cf8f5a660d?pid=SHOGBSKG5MMHGVC7&lid=LSTSHOGBSKG5MMHGVC7WFD6HM&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&spotlightTagId=default_BestsellerId_osp%2Fiko%2Fd20&srno=s_1_10&otracker=search&otracker1=search&fm=Search&iid=3b3e4816-eab1-41ff-bf6c-34092536fd02.SHOGBSKG5MMHGVC7.SEARCH&ppt=sp&ppn=sp&ssid=z2s8rjht8g0000001744466512873&qH=32e27b1148959538,"Women sports shoes,Running shoes,Trekking Shoes,gym shoes for women Outdoors For Women",Vokline ,355,0.64,4.1,121888
